TELEVISION ON
TELEVISION OFF
TELEVISION MUTE
TELEVISION UNMUTE
TELEVISION CHANNEL UP
T_V CHANNEL UP NINE
T_V CHANNEL UP TEN
T_V CHANNEL UP ELEVEN
T_V CHANNEL UP TWELVE
T_V CHANNEL UP THIRTEEN
T_V CHANNEL UP FOURTEEN
T_V CHANNEL UP FIFTEEN
T_V CHANNEL UP SIXTEEN
T_V CHANNEL UP SEVENTEEN
T_V CHANNEL UP EIGHTEEN
T_V CHANNEL UP NINETEEN
T_V CHANNEL UP TWENTY
T_V CHANNEL DOWN
T_V CHANNEL DOWN ONE
T_V CHANNEL DOWN TWO
T_V CHANNEL DOWN THREE
T_V CHANNEL DOWN FOUR
T_V CHANNEL DOWN FIVE
T_V CHANNEL DOWN SIX
T_V CHANNEL DOWN SEVEN
T_V CHANNEL DOWN EIGHT
T_V CHANNEL DOWN NINE
T_V CHANNEL DOWN TEN
T_V CHANNEL DOWN ELEVEN
T_V CHANNEL DOWN TWELVE
T_V CHANNEL DOWN THIRTEEN
T_V CHANNEL DOWN FOURTEEN
T_V CHANNEL DOWN FIFTEEN
T_V CHANNEL DOWN SIXTEEN
T_V CHANNEL DOWN SEVENTEEN
T_V CHANNEL DOWN EIGHTEEN
T_V CHANNEL DOWN NINETEEN
T_V CHANNEL DOWN TWENTY
T_V VOLUME UP
T_V VOLUME UP ONE
T_V VOLUME UP TWO
T_V VOLUME UP THREE
T_V VOLUME UP FOUR
T_V VOLUME UP FIVE
T_V VOLUME UP SIX
T_V VOLUME UP SEVEN
T_V VOLUME UP EIGHT
T_V VOLUME UP NINE
T_V VOLUME UP TEN
T_V VOLUME UP ELEVEN
T_V VOLUME UP TWELVE
T_V VOLUME UP THIRTEEN
T_V VOLUME UP FOURTEEN
T_V VOLUME UP FIFTEEN
T_V VOLUME UP SIXTEEN
T_V VOLUME UP SEVENTEEN
T_V VOLUME UP EIGHTEEN
T_V VOLUME UP NINETEEN
T_V VOLUME UP TWENTY
T_V VOLUME DOWN
T_V VOLUME DOWN ONE
T_V VOLUME DOWN TWO
T_V VOLUME DOWN THREE
T_V VOLUME DOWN FOUR
T_V VOLUME DOWN FIVE
T_V VOLUME DOWN SIX
T_V VOLUME DOWN SEVEN
T_V VOLUME DOWN EIGHT
T_V VOLUME DOWN NINE
T_V VOLUME DOWN TEN
T_V VOLUME DOWN ELEVEN
T_V VOLUME DOWN TWELVE
T_V VOLUME DOWN THIRTEEN
T_V VOLUME DOWN FOURTEEN
T_V VOLUME DOWN FIFTEEN
T_V VOLUME DOWN SIXTEEN
T_V VOLUME DOWN SEVENTEEN
T_V VOLUME DOWN EIGHTEEN
T_V VOLUME DOWN NINETEEN
T_V VOLUME DOWN TWENTY
